eval,variant,splay_deg,outer_axis_in,n_episodes,n_falls,walk_tip_fwd_p50,walk_tip_fwd_p10,walk_lead_tip_p50,walk_lead_tip_p10,walk_fwd_margin_p50,walk_frac_neg,prefall_tip_fwd_p50,prefall_tip_fwd_p10,prefall_lead_tip_p50,prefall_lead_tip_p10,prefall_fwd_margin_p50,prefall_frac_neg,prefall_frac_underdetermined,half_base_m,sweep_overlap_m,lateral_reach_loss_mm,cos_alpha,sideways_reachable
gait_income_phaseout_obst_light/2026-09-02_16-40-21,A-20ctrl,-20.0,5.5,100,74,0.27469915507385256,-5.227485137430014,6.401127925401698,0.4459879799719402,0.004704713023349388,0.4720710246789621,-8.678837148782069,-14.64090663195029,-4.763138815256528,-11.005840123339784,-0.14698040765155126,0.9687842278203724,0.45165165165165166,0.21589999999999998,0.5530861430909376,39.06108951696711,0.9396926207859084,True
gait_income_phaseout_obst_light/2026-09-02_16-40-21,B,0.0,2.5,100,74,8.377802066925128,2.549524031173509,21.384640290125255,15.550223300763818,0.14644202944405524,0.03952861596998362,4.578530401750568,-1.2821970796936197,10.581923957630055,4.066271901617709,0.08108833887187014,0.1664841182913472,0.45165165165165166,0.29209999999999997,0.25535969625890204,0.0,1.0,True
gait_income_phaseout_obst_light/2026-09-02_16-40-21,A10,10.0,5.5,100,74,9.108630741568302,3.3020856825879843,22.230948589862834,16.59642794469959,0.15950482389637324,0.03162817735031443,5.699774629709246,-0.27788320276037193,11.607841173442534,4.900205244434483,0.10201415326594265,0.11226725082146768,0.45165165165165166,0.32837192467487075,0.21908777158403125,9.840018373992864,0.984807753012208,True
gait_income_phaseout_obst_light/2026-09-02_16-40-21,A15,15.0,5.5,100,74,10.44335877222677,4.685454317644451,24.303234063738515,18.88624727610727,0.18350757064606069,0.02227448079057232,8.02834683518866,1.5673842914491707,13.880980517430052,7.157162370102418,0.14613218175319198,0.05805038335158817,0.45165165165165166,0.38353709551290266,0.16392260074599935,22.06984231257045,0.9659258262890683,True
gait_income_phaseout_obst_light/2026-09-02_16-40-21,A20,20.0,5.5,100,74,11.757233584119998,6.032951153807651,26.19586303927464,20.991879662687772,0.2073335806816357,0.017122020821222852,10.251687311356054,3.204695275087743,15.913132527419489,9.189226624930399,0.18741189693112265,0.03504928806133625,0.45165165165165166,0.4374264468320356,0.11003324942686643,39.06108951696711,0.9396926207859084,True
gait_income_phaseout_obst_light/2026-09-02_16-40-21,A10+B,10.0,2.5,100,74,11.104038247447857,5.345807333394604,25.832044104617175,20.394281928005284,0.1956399248409797,0.018839507477672674,9.449036053315552,2.489640407543499,15.335311960783056,8.734515059691429,0.17222566404166534,0.0416210295728368,0.45165165165165166,0.40457192467487074,0.14288777158403126,9.840018373992864,0.984807753012208,True
gait_income_phaseout_obst_light/2026-09-02_16-40-21,A15+B,15.0,2.5,100,74,12.437859462880617,6.718055109031553,27.785440387891256,22.56298151941015,0.2196932458676232,0.015668762881149923,11.682871302290277,4.0960949577597905,17.444162067778702,10.78284823713538,0.2160998552570097,0.02792990142387733,0.45165165165165166,0.45973709551290265,0.08772260074599936,22.06984231257045,0.9659258262890683,True
gait_income_phaseout_obst_light/2026-09-02_16-40-21,A20+B,20.0,2.5,100,74,13.74456840632611,8.060798768820275,29.560608000417968,24.535132593280828,0.2436028451901768,0.014004121967975479,13.771335051372896,5.61540145549466,19.374957955758504,12.68279432196821,0.2586059384841714,0.01533406352683461,0.45165165165165166,0.5136264468320355,0.033833249426866496,39.06108951696711,0.9396926207859084,True
gated_lineage_obst/2026-08-31_17-13-40,base,0.0,5.5,100,52,6.301125351650687,1.0904365297996164,17.683519117313622,11.300044620155802,0.11110180728311214,0.06350438965465174,0.4801941634936532,-5.4885280278473,6.1666486334345425,-1.4901859569707805,0.008551268696233339,0.4567307692307692,0.5555555555555556,0.21589999999999998,0.331559696258902,0.0,1.0,True
gated_lineage_obst/2026-08-31_17-13-40,A-20ctrl,-20.0,5.5,100,52,0.5910006498423386,-4.276316117409452,6.548039060445577,0.24252125019129084,0.010341219985818897,0.437304514765202,-9.48875664179327,-15.210559502135842,-4.734011061460967,-11.833887709175908,-0.16434765636601406,0.9942307692307693,0.5555555555555556,0.21589999999999998,0.5530861430909376,39.06108951696711,0.9396926207859084,True
gated_lineage_obst/2026-08-31_17-13-40,B,0.0,2.5,100,52,8.296219812891122,3.065352161254,21.529725113028153,15.342655691922355,0.14692286885786676,0.029142129899264436,4.416125635540686,-2.2263977134253237,10.08041970947745,2.397824096969184,0.08095488760708036,0.22596153846153846,0.5555555555555556,0.29209999999999997,0.25535969625890204,0.0,1.0,True
gated_lineage_obst/2026-08-31_17-13-40,A10,10.0,5.5,100,52,9.022015136105004,3.8015734958801914,22.491864725537695,16.59788442616275,0.15979618022958542,0.023835716905023837,5.6099703541004455,-1.3844704107648507,11.145925099169643,3.2252005457667883,0.10182123939780616,0.17692307692307693,0.5555555555555556,0.32837192467487075,0.21908777158403125,9.840018373992864,0.984807753012208,True
gated_lineage_obst/2026-08-31_17-13-40,A15,15.0,5.5,100,52,10.341465693526578,5.1293321805852585,24.645977027178688,19.036651847982277,0.18374575985775676,0.0178606095903708,7.986649256764415,0.42349320497294807,13.307670348175272,5.469452822311086,0.14773347663143516,0.08365384615384615,0.5555555555555556,0.38353709551290266,0.16392260074599935,22.06984231257045,0.9659258262890683,True
gated_lineage_obst/2026-08-31_17-13-40,A20,20.0,5.5,100,52,11.654807511011956,6.462295967221496,26.608449784642076,21.314973082577286,0.20779168050181812,0.015099549170603336,10.208275801169503,2.1146563458418495,15.295968776679967,7.593587876187015,0.19105358092264998,0.03653846153846154,0.5555555555555556,0.4374264468320356,0.11003324942686643,39.06108951696711,0.9396926207859084,True
gated_lineage_obst/2026-08-31_17-13-40,A10+B,10.0,2.5,100,52,10.976949438467559,5.737218018030118,26.081548445978544,20.429624034061227,0.19540412409844754,0.016113376043486703,9.374656490659632,1.563820166834827,14.811343045267895,6.982170883446291,0.17418104558534517,0.05,0.5555555555555556,0.40457192467487074,0.14288777158403126,9.840018373992864,0.984807753012208,True
gated_lineage_obst/2026-08-31_17-13-40,A15+B,15.0,2.5,100,52,12.30323926301325,7.077773988176615,28.10864994265675,22.748803016451106,0.2197245355699471,0.014323000927543735,11.637486194966192,3.279989131223883,16.897783122473257,9.178474717938613,0.22018102949010576,0.025,0.5555555555555556,0.45973709551290265,0.08772260074599936,22.06984231257045,0.9659258262890683,True
gated_lineage_obst/2026-08-31_17-13-40,A20+B,20.0,2.5,100,52,13.609801423917107,8.418060025392723,29.94914024416832,24.918244988407647,0.243973458453356,0.013632735822601869,13.789301131960396,4.964240141971331,18.733385506776536,11.101595265159586,0.26385153690164287,0.014423076923076924,0.5555555555555556,0.5136264468320355,0.033833249426866496,39.06108951696711,0.9396926207859084,True
